sa2_code,sa2_name,area_band,longitude,latitude,population_2025,population_growth_pct_2024_25,stops_per_10000_people,total_stops,access_category
207011520,Hawthorn - South,Inner Melbourne,145.033897,-37.829265,13562,1.3,33.18,45,Moderate
207011521,Kew - South,Inner Melbourne,145.046576,-37.808738,12306,0,54.44,67,High
207011522,Kew - West,Inner Melbourne,145.023986,-37.799751,13799,1.3,36.96,51,Moderate
207021156,Bulleen,Inner Melbourne,145.087186,-37.768872,11810,0.7,50.8,60,High
207021157,Doncaster,Inner Melbourne,145.123858,-37.784815,28353,1.9,36.33,103,Moderate
207021159,Templestowe,Inner Melbourne,145.148639,-37.754034,17442,0.1,62.49,109,High
207021160,Templestowe Lower,Inner Melbourne,145.112278,-37.763855,14695,0.7,42.87,63,Moderate
207021424,Doncaster East - North,Inner Melbourne,145.169262,-37.769426,16642,2.1,45.07,75,High
211031267,Ringwood East,Outer / growth corridor,145.248683,-37.821477,22164,1.6,23.91,53,Moderate
207021425,Doncaster East - South,Inner Melbourne,145.156697,-37.791499,16983,2,35.92,61,Moderate
211031268,Ringwood North,Outer / growth corridor,145.230693,-37.794637,9839,0.6,56.92,56,High
211031450,Croydon - East,Outer / growth corridor,145.291232,-37.801007,17345,1.2,43.24,75,Moderate
207031161,Blackburn,Inner Melbourne,145.152914,-37.816545,23732,1.4,51.83,123,High
207031162,Blackburn South,Inner Melbourne,145.146546,-37.839345,11072,0.1,42.45,47,Moderate
207031163,Box Hill,Inner Melbourne,145.124747,-37.829025,27206,2.4,52.56,143,High
207031164,Box Hill North,Inner Melbourne,145.122697,-37.804679,19760,1.8,43.52,86,Moderate
207031165,Burwood (Vic.),Inner Melbourne,145.112951,-37.848051,15480,4.2,48.45,75,High
207031166,Burwood East,Inner Melbourne,145.150421,-37.853573,12460,1.1,51.36,64,High
207031167,Surrey Hills (East) - Mont Albert,Inner Melbourne,145.106901,-37.824282,10776,0.5,28.77,31,Moderate
208011168,Beaumaris,Inner Melbourne,145.037756,-37.98079,14486,0.8,51.77,75,High
208011169,Brighton (Vic.),Inner Melbourne,144.995822,-37.908176,24340,1.2,47.25,115,High
208011170,Brighton East,Inner Melbourne,145.016311,-37.917136,17486,1.5,33.17,58,Moderate
208011171,Highett (West) - Cheltenham,Inner Melbourne,145.037969,-37.957433,13257,1.4,56.57,75,High
208011172,Hampton,Inner Melbourne,145.014253,-37.937648,19524,2,42.51,83,Moderate
208011173,Sandringham - Black Rock,Inner Melbourne,145.017111,-37.960839,18071,0.5,38.18,69,Moderate
208021174,Bentleigh - McKinnon,Inner Melbourne,145.037977,-37.919464,26966,0.8,27.44,74,Moderate
208021176,Carnegie,Inner Melbourne,145.055904,-37.893377,21266,2.1,34.33,73,Moderate
208021177,Caulfield - North,Inner Melbourne,145.02291,-37.873867,24635,1,42.22,104,Moderate
208021178,Caulfield - South,Inner Melbourne,145.025368,-37.891367,19226,1.6,43.69,84,Moderate
208021179,Elsternwick,Inner Melbourne,145.007206,-37.886949,12827,1,53.01,68,High
208021180,Hughesdale,Inner Melbourne,145.081142,-37.899467,8132,1,40.58,33,Moderate
208021181,Murrumbeena,Inner Melbourne,145.070374,-37.896824,10126,1.2,44.44,45,Moderate
208021182,Ormond - Glen Huntly,Inner Melbourne,145.041429,-37.900354,15157,3.2,27.05,41,Moderate
208021426,Bentleigh East - North,Inner Melbourne,145.068055,-37.91481,17873,2.1,39.72,71,Moderate
208021427,Bentleigh East - South,Inner Melbourne,145.065333,-37.9294,14949,1.4,54.85,82,High
208031183,Aspendale Gardens - Waterways,Inner Melbourne,145.123082,-38.019086,9063,0,25.38,23,Moderate
208031184,Braeside,Inner Melbourne,145.122238,-37.998007,28,0,16785.71,47,High
208031185,Carrum - Patterson Lakes,Inner Melbourne,145.139199,-38.071293,12478,0.5,45.68,57,High
208031186,Chelsea - Bonbeach,Inner Melbourne,145.124618,-38.056584,16058,1.4,29.27,47,Moderate
208031187,Chelsea Heights,Inner Melbourne,145.134243,-38.04083,5445,0.3,75.3,41,High
208031188,Highett (East) - Cheltenham ,Inner Melbourne,145.066086,-37.961166,26320,2,43.69,115,Moderate
208031189,Edithvale - Aspendale,Inner Melbourne,145.107484,-38.028217,14365,1.8,33.41,48,Moderate
208031190,Mentone,Inner Melbourne,145.069054,-37.981631,14155,1.5,43.09,61,Moderate
208031191,Moorabbin - Heatherton,Inner Melbourne,145.07933,-37.950331,9826,1.5,87.52,86,High
208031192,Moorabbin Airport,Inner Melbourne,145.099524,-37.977443,26,0,3461.54,9,High
208031193,Mordialloc - Parkdale,Inner Melbourne,145.08945,-37.995992,22437,1.1,37.44,84,Moderate
208041194,Malvern - Glen Iris,Inner Melbourne,145.042275,-37.856404,21820,1.1,41.7,91,Moderate
208041195,Malvern East,Inner Melbourne,145.065854,-37.876823,23996,1.4,40.01,96,Moderate
209011196,Bundoora - East,Middle ring,145.068338,-37.698802,10339,1.4,41.59,43,Moderate
209011197,Greensborough,Middle ring,145.113901,-37.700088,21386,0.5,46.29,99,High
209011198,Heidelberg - Rosanna,Middle ring,145.06966,-37.7457,16925,0.4,42.54,72,Moderate
209011199,Heidelberg West,Middle ring,145.046412,-37.742979,17224,3.5,59.8,103,High
212031308,Pearcedale - Tooradin,Outer / growth corridor,145.311572,-38.20444,8272,0.6,56.82,47,High
209011200,Ivanhoe,Middle ring,145.043085,-37.76902,13188,0.5,41.7,55,Moderate
212031457,Narre Warren South - East,Outer / growth corridor,145.312578,-38.059016,13022,0.2,31.49,41,Moderate
