sa2_code,sa2_name,sa3_name,sa4_name,area_band,population_2021,population_2022,population_2023,population_2024,population_2025,population_density_2025,population_growth_pct_2024_25,growth_category,area_km2,train_stops,tram_stops,bus_stops,total_stops,stops_per_10000_people,people_per_stop,dominant_mode,access_category
209011198,Heidelberg - Rosanna,Banyule,Melbourne - North East,Middle ring,16202,16279,16556,16852,16925,2656.3,0.4,Stable,6.3717,2,0,70,72,42.54,235.0,Bus,Moderate
212031306,Lynbrook - Lyndhurst,Casey - South,Melbourne - South East,Outer / growth corridor,18271,18624,18995,19379,19545,2656.2,0.9,Stable,7.3583,2,0,44,46,23.54,425.0,Bus,Moderate
213051580,Point Cook - North East,Wyndham,Melbourne - West,Outer / growth corridor,14324,14272,14647,14749,14746,2655.6,0,Stable,5.5527,0,0,46,46,31.19,321.0,Bus,Moderate
211041270,Mitcham (Vic.),Whitehorse - East,Melbourne - Outer East,Outer / growth corridor,16930,16990,17288,17425,17496,2640.1,0.4,Stable,6.6271,1,0,92,93,53.16,188.0,Bus,High
209011200,Ivanhoe,Banyule,Melbourne - North East,Middle ring,12559,12563,12903,13116,13188,2611.6,0.5,Stable,5.0498,2,0,53,55,41.7,240.0,Bus,Moderate
211041271,Nunawading,Whitehorse - East,Melbourne - Outer East,Outer / growth corridor,12518,12576,12903,13192,13247,2608.4,0.4,Stable,5.0785,1,0,70,71,53.6,187.0,Bus,High
213041461,Burnside,Melton - Bacchus Marsh,Melbourne - West,Outer / growth corridor,5857,5995,6199,6418,6635,2599.9,3.4,Growing,2.552,0,0,20,20,30.14,332.0,Bus,Moderate
207021424,Doncaster East - North,Manningham - West,Melbourne - Inner East,Inner Melbourne,15786,15768,16155,16306,16642,2599.1,2.1,Growing,6.403,0,0,75,75,45.07,222.0,Bus,High
209011199,Heidelberg West,Banyule,Melbourne - North East,Middle ring,15039,15244,15799,16641,17224,2574.1,3.5,Growing,6.6912,0,0,103,103,59.8,167.0,Bus,High
212031560,Cranbourne North - West,Casey - South,Melbourne - South East,Outer / growth corridor,12042,11965,12170,12295,12313,2573.3,0.1,Stable,4.7849,0,0,48,48,38.98,257.0,Bus,Moderate
210011231,Strathmore,Keilor,Melbourne - North West,Outer / growth corridor,10107,10167,10301,10427,10536,2542.2,1,Stable,4.1444,0,0,52,52,49.35,203.0,Bus,High
213051587,Truganina - South East,Wyndham,Melbourne - West,Outer / growth corridor,9761,9994,10399,10633,10846,2541.5,2,Growing,4.2675,0,0,24,24,22.13,452.0,Bus,Moderate
213031349,Maribyrnong,Maribyrnong,Melbourne - West,Outer / growth corridor,12712,12867,13364,13751,13960,2541.2,1.5,Stable,5.4934,0,30,48,78,55.87,179.0,Bus,High
207011148,Balwyn North,Boroondara,Melbourne - Inner East,Inner Melbourne,21406,21306,21866,22276,22454,2537.4,0.8,Stable,8.8492,0,12,96,108,48.1,208.0,Bus,High
209011196,Bundoora - East,Banyule,Melbourne - North East,Middle ring,9920,9814,9993,10196,10339,2537.2,1.4,Stable,4.0749,0,7,36,43,41.59,240.0,Bus,Moderate
210031535,Glenroy - East,Moreland - North,Melbourne - North West,Outer / growth corridor,14980,14830,15381,15671,15762,2523.0,0.6,Stable,6.2473,1,0,64,65,41.24,242.0,Bus,Moderate
212031458,Narre Warren South - West,Casey - South,Melbourne - South East,Outer / growth corridor,16930,16751,17066,17089,17083,2520.7,0,Stable,6.7771,0,0,68,68,39.81,251.0,Bus,Moderate
209011204,Watsonia,Banyule,Melbourne - North East,Middle ring,9305,9238,9338,9486,9504,2510.5,0.2,Stable,3.7857,1,0,52,53,55.77,179.0,Bus,High
212031559,Cranbourne North - East,Casey - South,Melbourne - South East,Outer / growth corridor,12925,13237,13537,13621,13691,2510.0,0.5,Stable,5.4545,0,0,29,29,21.18,472.0,Bus,Moderate
212051326,Oakleigh - Huntingdale,Monash,Melbourne - South East,Outer / growth corridor,23253,23515,24387,25025,25427,2500.1,1.6,Stable,10.1702,2,0,146,148,58.21,172.0,Bus,High
