path_id,sa2_code,sa2_name,access_category,growth,point_order,longitude,latitude
206021500-0,206021500,Northcote - West,Moderate,1.4,5,144.98421,-37.76495
206021500-0,206021500,Northcote - West,Moderate,1.4,6,144.9843,-37.76505
206031113-0,206031113,Ascot Vale,Moderate,2,0,144.89943,-37.77039
206031113-0,206031113,Ascot Vale,Moderate,2,1,144.89601,-37.7744
206031113-0,206031113,Ascot Vale,Moderate,2,2,144.90399,-37.78457
206031113-0,206031113,Ascot Vale,Moderate,2,3,144.90272,-37.78964
206031113-0,206031113,Ascot Vale,Moderate,2,4,144.91359,-37.77938
206031113-0,206031113,Ascot Vale,Moderate,2,5,144.91762,-37.7836
206031113-0,206031113,Ascot Vale,Moderate,2,6,144.93124,-37.78136
206031113-0,206031113,Ascot Vale,Moderate,2,7,144.9301,-37.77702
206031113-0,206031113,Ascot Vale,Moderate,2,8,144.93708,-37.77776
206031113-0,206031113,Ascot Vale,Moderate,2,9,144.93649,-37.77378
206031113-0,206031113,Ascot Vale,Moderate,2,10,144.89978,-37.77027
206031113-0,206031113,Ascot Vale,Moderate,2,11,144.89943,-37.77039
206031115-0,206031115,Flemington,Moderate,-2.7,0,144.92204,-37.7837
206031115-0,206031115,Flemington,Moderate,-2.7,1,144.91762,-37.7836
206031115-0,206031115,Flemington,Moderate,-2.7,2,144.92131,-37.78745
206031115-0,206031115,Flemington,Moderate,-2.7,3,144.94037,-37.78761
206031115-0,206031115,Flemington,Moderate,-2.7,4,144.93708,-37.77776
206031115-0,206031115,Flemington,Moderate,-2.7,5,144.9301,-37.77702
206031115-0,206031115,Flemington,Moderate,-2.7,6,144.93233,-37.7809
206031115-0,206031115,Flemington,Moderate,-2.7,7,144.92216,-37.78296
206031115-0,206031115,Flemington,Moderate,-2.7,8,144.92204,-37.7837
206031116-0,206031116,Moonee Ponds,High,1.2,0,144.90357,-37.76487
206031116-0,206031116,Moonee Ponds,High,1.2,1,144.90096,-37.77001
206031116-0,206031116,Moonee Ponds,High,1.2,2,144.93843,-37.77171
206031116-0,206031116,Moonee Ponds,High,1.2,3,144.93523,-37.77061
206031116-0,206031116,Moonee Ponds,High,1.2,4,144.93841,-37.76091
206031116-0,206031116,Moonee Ponds,High,1.2,5,144.93215,-37.75872
206031116-0,206031116,Moonee Ponds,High,1.2,6,144.91626,-37.75693
206031116-0,206031116,Moonee Ponds,High,1.2,7,144.91598,-37.76112
206031116-0,206031116,Moonee Ponds,High,1.2,8,144.90382,-37.75993
206031116-0,206031116,Moonee Ponds,High,1.2,9,144.90364,-37.76447
206031116-0,206031116,Moonee Ponds,High,1.2,10,144.90357,-37.76487
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,0,144.89115,-37.74505
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,1,144.88895,-37.76189
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,2,144.8941,-37.76578
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,3,144.90357,-37.76487
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,4,144.91056,-37.74498
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,5,144.9045,-37.73536
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,6,144.89295,-37.73457
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,7,144.89128,-37.74431
206031501-0,206031501,Essendon (West) - Aberfeldie,Moderate,0.1,8,144.89115,-37.74505
206031502-0,206031502,Essendon - East,High,2.5,0,144.9097,-37.74686
206031502-0,206031502,Essendon - East,High,2.5,1,144.90641,-37.76058
206031502-0,206031502,Essendon - East,High,2.5,2,144.91598,-37.76112
206031502-0,206031502,Essendon - East,High,2.5,3,144.91626,-37.75693
206031502-0,206031502,Essendon - East,High,2.5,4,144.93382,-37.75938
206031502-0,206031502,Essendon - East,High,2.5,5,144.93505,-37.75346
206031502-0,206031502,Essendon - East,High,2.5,6,144.92672,-37.75145
206031502-0,206031502,Essendon - East,High,2.5,7,144.92856,-37.7457
206031502-0,206031502,Essendon - East,High,2.5,8,144.93349,-37.74405
206031502-0,206031502,Essendon - East,High,2.5,9,144.90821,-37.7413
206031502-0,206031502,Essendon - East,High,2.5,10,144.9097,-37.74669
206031502-0,206031502,Essendon - East,High,2.5,11,144.9097,-37.74686
206041117-0,206041117,Carlton,Moderate,6.4,0,144.97488,-37.79794
206041117-0,206041117,Carlton,Moderate,6.4,1,144.97572,-37.79303
206041117-0,206041117,Carlton,Moderate,6.4,2,144.9684,-37.79225
206041117-0,206041117,Carlton,Moderate,6.4,3,144.9641,-37.79273
206041117-0,206041117,Carlton,Moderate,6.4,4,144.96398,-37.80041
206041117-0,206041117,Carlton,Moderate,6.4,5,144.95756,-37.7997
206041117-0,206041117,Carlton,Moderate,6.4,6,144.95951,-37.80628
206041117-0,206041117,Carlton,Moderate,6.4,7,144.97319,-37.80791
206041117-0,206041117,Carlton,Moderate,6.4,8,144.97477,-37.79864
206041117-0,206041117,Carlton,Moderate,6.4,9,144.97488,-37.79794
206041118-0,206041118,Docklands,Moderate,4,0,144.94525,-37.81208
206041118-0,206041118,Docklands,Moderate,4,1,144.93503,-37.80945
206041118-0,206041118,Docklands,Moderate,4,2,144.93148,-37.82178
206041118-0,206041118,Docklands,Moderate,4,3,144.947,-37.82528
206041118-0,206041118,Docklands,Moderate,4,4,144.95599,-37.82304
206041118-0,206041118,Docklands,Moderate,4,5,144.95144,-37.81315
206041118-0,206041118,Docklands,Moderate,4,6,144.94545,-37.81185
206041118-0,206041118,Docklands,Moderate,4,7,144.94525,-37.81208
206041119-0,206041119,East Melbourne,High,1.5,0,144.97396,-37.8133
206041119-0,206041119,East Melbourne,High,1.5,1,144.96844,-37.81961
206041119-0,206041119,East Melbourne,High,1.5,2,144.98793,-37.82966
206041119-0,206041119,East Melbourne,High,1.5,3,144.99136,-37.80972
206041119-0,206041119,East Melbourne,High,1.5,4,144.97137,-37.80771
206041119-0,206041119,East Melbourne,High,1.5,5,144.97363,-37.81259
206041119-0,206041119,East Melbourne,High,1.5,6,144.97396,-37.8133
206041120-0,206041120,Flemington Racecourse,High,0,0,144.91598,-37.78187
206041120-0,206041120,Flemington Racecourse,High,0,1,144.91359,-37.77938
206041120-0,206041120,Flemington Racecourse,High,0,2,144.90824,-37.78252
206041120-0,206041120,Flemington Racecourse,High,0,3,144.90334,-37.79136
206041120-0,206041120,Flemington Racecourse,High,0,4,144.91388,-37.79476
206041120-0,206041120,Flemington Racecourse,High,0,5,144.92293,-37.78913
206041120-0,206041120,Flemington Racecourse,High,0,6,144.91698,-37.78293
206041120-0,206041120,Flemington Racecourse,High,0,7,144.91598,-37.78187
206041121-0,206041121,Kensington (Vic.),Low,6.9,0,144.92172,-37.78987
206041121-0,206041121,Kensington (Vic.),Low,6.9,1,144.91293,-37.79515
206041121-0,206041121,Kensington (Vic.),Low,6.9,2,144.93591,-37.80227
206041121-0,206041121,Kensington (Vic.),Low,6.9,3,144.93784,-37.78893
206041121-0,206041121,Kensington (Vic.),Low,6.9,4,144.92243,-37.78943
206041121-0,206041121,Kensington (Vic.),Low,6.9,5,144.92172,-37.78987
206041124-0,206041124,Parkville,High,1.2,0,144.93897,-37.78156
206041124-0,206041124,Parkville,High,1.2,1,144.94088,-37.78835
206041124-0,206041124,Parkville,High,1.2,2,144.95733,-37.80154
206041124-0,206041124,Parkville,High,1.2,3,144.96398,-37.80041
206041124-0,206041124,Parkville,High,1.2,4,144.96498,-37.79455
206041124-0,206041124,Parkville,High,1.2,5,144.95876,-37.78987
206041124-0,206041124,Parkville,High,1.2,6,144.96024,-37.77803
206041124-0,206041124,Parkville,High,1.2,7,144.93877,-37.77543
206041124-0,206041124,Parkville,High,1.2,8,144.93874,-37.78084
206041124-0,206041124,Parkville,High,1.2,9,144.93897,-37.78156
206041125-0,206041125,South Yarra - West,High,0,0,144.97455,-37.83467
206041125-0,206041125,South Yarra - West,High,0,1,144.98065,-37.85021
206041125-0,206041125,South Yarra - West,High,0,2,144.98421,-37.85065
206041125-0,206041125,South Yarra - West,High,0,3,144.98779,-37.83054
206041125-0,206041125,South Yarra - West,High,0,4,144.98486,-37.82833
206041125-0,206041125,South Yarra - West,High,0,5,144.98368,-37.83428
206041125-0,206041125,South Yarra - West,High,0,6,144.97445,-37.83455
206041125-0,206041125,South Yarra - West,High,0,7,144.97455,-37.83467
206041127-0,206041127,West Melbourne - Industrial,Very low,0,0,144.90759,-37.80612
